UDI,Product ID,Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Machine failure,TWF,HDF,PWF,OSF,RNF,Failure Type
121,47300.0,L,298.9,308.7,1433.0,44.7,108.0,0,0,0,0,0,0,Tool Wear Failure
122,47301.0,L,298.9,308.7,1558.0,41.2,110.0,0,0,0,0,0,0,Tool Wear Failure
123,47302.0,L,299.0,308.8,1310.0,50.7,112.0,0,0,0,0,0,0,Tool Wear Failure
124,47303.0,L,298.9,308.7,1546.0,43.4,114.0,0,0,0,0,0,0,Tool Wear Failure
125,47304.0,L,298.9,308.7,1727.0,29.4,116.0,0,0,0,0,0,0,Tool Wear Failure
126,47305.0,L,298.9,308.6,1560.0,32.2,118.0,0,0,0,0,0,0,Tool Wear Failure
127,47306.0,L,299.0,308.6,1329.0,60.5,120.0,0,0,0,0,0,0,Tool Wear Failure
128,47307.0,L,298.9,308.6,1413.0,46.5,122.0,0,0,0,0,0,0,Tool Wear Failure
129,47308.0,L,299.0,308.6,1587.0,38.6,124.0,0,0,0,0,0,0,Tool Wear Failure
130,47309.0,L,298.9,308.5,1559.0,34.3,126.0,0,0,0,0,0,0,Tool Wear Failure
131,47310.0,L,298.8,308.4,1473.0,41.1,128.0,0,0,0,0,0,0,Tool Wear Failure
132,47311.0,L,298.8,308.4,1737.0,27.7,130.0,0,0,0,0,0,0,Tool Wear Failure
133,14992.0,M,298.7,308.4,1441.0,43.2,132.0,0,0,0,0,0,0,Tool Wear Failure
134,14993.0,M,298.7,308.4,1430.0,49.6,135.0,0,0,0,0,0,0,Tool Wear Failure
135,47314.0,L,298.8,308.4,1369.0,53.0,138.0,0,0,0,0,0,0,Tool Wear Failure
136,14995.0,M,298.8,308.5,1711.0,28.5,140.0,0,0,0,0,0,0,Tool Wear Failure
137,29550.0,H,298.7,308.5,1420.0,45.7,143.0,0,0,0,0,0,0,Tool Wear Failure
138,47317.0,L,298.7,308.6,1297.0,55.3,148.0,0,0,0,0,0,0,Tool Wear Failure
139,29552.0,H,298.8,308.6,1449.0,49.4,150.0,0,0,0,0,0,0,Tool Wear Failure
140,47319.0,L,298.8,308.6,1268.0,55.8,155.0,0,0,0,0,0,0,Tool Wear Failure
141,47320.0,L,298.8,308.6,1511.0,36.1,157.0,0,0,0,0,0,0,Tool Wear Failure
142,47321.0,L,298.7,308.5,1544.0,35.2,159.0,0,0,0,0,0,0,Tool Wear Failure
143,15002.0,M,298.6,308.4,1778.0,28.2,161.0,0,0,0,0,0,0,Tool Wear Failure
144,29557.0,H,298.6,308.4,1407.0,50.5,164.0,0,0,0,0,0,0,Tool Wear Failure
145,15004.0,M,298.6,308.4,1391.0,42.4,169.0,0,0,0,0,0,0,Tool Wear Failure
146,47325.0,L,298.5,308.4,1513.0,33.6,172.0,0,0,0,0,0,0,Tool Wear Failure
147,29560.0,H,298.5,308.4,1612.0,36.1,174.0,0,0,0,0,0,0,Tool Wear Failure
148,47327.0,L,298.4,308.4,1515.0,40.1,179.0,0,0,0,0,0,0,Tool Wear Failure
149,15008.0,M,298.3,308.3,1379.0,48.0,181.0,0,0,0,0,0,0,Tool Wear Failure
150,47329.0,L,298.4,308.3,1473.0,39.9,184.0,0,0,0,0,0,0,Tool Wear Failure
151,47330.0,L,298.4,308.3,1422.0,42.7,186.0,0,0,0,0,0,0,Tool Wear Failure
152,15011.0,M,298.4,308.2,1463.0,37.6,188.0,0,0,0,0,0,0,Tool Wear Failure
153,15012.0,M,298.4,308.2,1584.0,41.0,191.0,0,0,0,0,0,0,Tool Wear Failure
154,47333.0,L,298.4,308.2,1850.0,27.0,194.0,0,0,0,0,0,0,Tool Wear Failure
155,47334.0,L,298.4,308.2,1528.0,36.2,196.0,0,0,0,0,0,0,Tool Wear Failure
156,29569.0,H,298.4,308.2,1987.0,19.8,198.0,0,0,0,0,0,0,Tool Wear Failure
157,15016.0,M,298.4,308.1,1495.0,46.0,203.0,0,0,0,0,0,0,Tool Wear Failure
158,29571.0,H,298.4,308.2,1478.0,43.5,206.0,0,0,0,0,0,0,Tool Wear Failure
159,15018.0,M,298.4,308.2,1499.0,40.0,211.0,0,0,0,0,0,0,Tool Wear Failure
160,47339.0,L,298.4,308.2,1471.0,47.0,214.0,0,0,0,0,0,0,Tool Wear Failure
161,47340.0,L,298.4,308.2,1282.0,60.7,216.0,1,0,0,0,1,0,Overstrain Failure
162,47341.0,L,298.3,308.1,1412.0,52.3,218.0,1,0,0,0,1,0,Overstrain Failure
163,47342.0,L,298.3,308.1,1586.0,35.5,0.0,0,0,0,0,0,0,Tool Wear Failure
164,15023.0,M,298.4,308.2,1468.0,43.8,2.0,0,0,0,0,0,0,Tool Wear Failure
165,15024.0,M,298.5,308.3,1440.0,43.6,5.0,0,0,0,0,0,0,Tool Wear Failure
166,47345.0,L,298.5,308.4,1733.0,26.0,8.0,0,0,0,0,0,0,Tool Wear Failure
167,29580.0,H,298.4,308.2,1612.0,32.6,10.0,0,0,0,0,0,0,Tool Wear Failure
168,29581.0,H,298.4,308.3,1458.0,42.9,15.0,0,0,0,0,0,0,Tool Wear Failure
169,47348.0,L,298.4,308.3,1433.0,62.3,20.0,1,0,0,1,0,0,Power Failure
170,47349.0,L,298.4,308.3,1318.0,59.1,22.0,0,0,0,0,0,0,Tool Wear Failure
171,15030.0,M,298.4,308.2,1610.0,35.0,24.0,0,0,0,0,0,0,Tool Wear Failure
172,47351.0,L,298.2,308.1,1462.0,50.8,27.0,0,0,0,0,0,0,Tool Wear Failure
173,15032.0,M,298.1,308.0,1924.0,20.8,29.0,0,0,0,0,0,0,Tool Wear Failure
174,15033.0,M,298.2,308.0,1591.0,33.7,32.0,0,0,0,0,0,0,Tool Wear Failure
175,47354.0,L,298.2,308.1,1306.0,58.3,35.0,0,0,0,0,0,0,Tool Wear Failure
176,47355.0,L,298.2,308.1,1382.0,43.5,37.0,0,0,0,0,0,0,Tool Wear Failure
177,47356.0,L,298.2,308.1,1618.0,34.7,39.0,0,0,0,0,0,0,Tool Wear Failure
178,47357.0,L,298.2,308.2,1988.0,21.4,41.0,0,0,0,0,0,0,Tool Wear Failure
179,47358.0,L,298.2,308.2,1436.0,50.2,43.0,0,0,0,0,0,0,Tool Wear Failure
180,47359.0,L,298.2,308.3,1304.0,49.8,45.0,0,0,0,0,0,0,Tool Wear Failure
181,47360.0,L,298.2,308.3,1475.0,49.9,47.0,0,0,0,0,0,0,Tool Wear Failure
182,29595.0,H,298.2,308.3,1824.0,24.2,49.0,0,0,0,0,0,0,Tool Wear Failure
183,15042.0,M,298.1,308.2,1342.0,48.1,54.0,0,0,0,0,0,0,Tool Wear Failure
184,47363.0,L,298.1,308.2,1485.0,40.7,57.0,0,0,0,0,0,0,Tool Wear Failure
185,47364.0,L,298.2,308.2,1667.0,30.6,59.0,0,0,0,0,0,0,Tool Wear Failure
186,47365.0,L,298.2,308.2,1446.0,38.2,61.0,0,0,0,0,0,0,Tool Wear Failure
187,47366.0,L,298.1,308.3,1301.0,56.0,63.0,0,0,0,0,0,0,Tool Wear Failure
188,47367.0,L,298.2,308.4,1379.0,43.1,65.0,0,0,0,0,0,0,Tool Wear Failure
189,47368.0,L,298.3,308.5,1606.0,33.6,67.0,0,0,0,0,0,0,Tool Wear Failure
190,15049.0,M,298.3,308.4,1539.0,43.4,69.0,0,0,0,0,0,0,Tool Wear Failure
191,47370.0,L,298.2,308.4,1477.0,49.9,72.0,0,0,0,0,0,0,Tool Wear Failure
192,47371.0,L,298.2,308.4,1666.0,34.6,74.0,0,0,0,0,0,0,Tool Wear Failure
193,29606.0,H,298.2,308.4,1398.0,51.8,76.0,0,0,0,0,0,0,Tool Wear Failure
194,29607.0,H,298.2,308.4,1678.0,34.6,81.0,0,0,0,0,0,0,Tool Wear Failure
195,15054.0,M,298.2,308.5,2678.0,10.7,86.0,1,0,0,1,0,0,Power Failure
196,47375.0,L,298.3,308.5,1453.0,42.9,89.0,0,0,0,0,0,0,Tool Wear Failure
197,29610.0,H,298.3,308.6,1432.0,49.5,91.0,0,0,0,0,0,0,Tool Wear Failure
198,15057.0,M,298.4,308.6,1527.0,40.9,96.0,0,0,0,0,0,0,Tool Wear Failure
199,47378.0,L,298.4,308.7,1588.0,35.0,99.0,0,0,0,0,0,0,Tool Wear Failure
200,47379.0,L,298.4,308.6,1433.0,47.1,101.0,0,0,0,0,0,0,Tool Wear Failure
201,47380.0,L,298.4,308.6,1609.0,35.0,103.0,0,0,0,0,0,0,Tool Wear Failure
202,47381.0,L,298.3,308.5,1575.0,41.2,105.0,0,0,0,0,0,0,Tool Wear Failure
203,15062.0,M,298.4,308.5,1636.0,35.7,107.0,0,0,0,0,0,0,Tool Wear Failure
204,47383.0,L,298.4,308.5,1490.0,37.9,110.0,0,0,0,0,0,0,Tool Wear Failure
205,47384.0,L,298.4,308.5,1741.0,32.8,112.0,0,0,0,0,0,0,Tool Wear Failure
206,15065.0,M,298.5,308.6,1344.0,53.0,114.0,0,0,0,0,0,0,Tool Wear Failure
207,47386.0,L,298.5,308.7,1609.0,35.3,117.0,0,0,0,0,0,0,Tool Wear Failure
208,15067.0,M,298.4,308.7,1421.0,60.7,119.0,1,0,0,1,0,0,Power Failure
209,47388.0,L,298.4,308.6,1591.0,36.7,122.0,0,0,0,0,0,0,Tool Wear Failure
210,47389.0,L,298.4,308.6,1477.0,44.0,124.0,0,0,0,0,0,0,Tool Wear Failure
211,47390.0,L,298.4,308.7,1523.0,36.1,126.0,0,0,0,0,0,0,Tool Wear Failure
212,47391.0,L,298.5,308.7,1575.0,33.9,128.0,0,0,0,0,0,0,Tool Wear Failure
213,29626.0,H,298.4,308.7,1344.0,52.9,130.0,0,0,0,0,0,0,Tool Wear Failure
214,47393.0,L,298.4,308.7,1386.0,44.9,135.0,0,0,0,0,0,0,Tool Wear Failure
215,15074.0,M,298.3,308.6,1589.0,37.1,137.0,0,0,0,0,0,0,Tool Wear Failure
216,47395.0,L,298.3,308.6,1548.0,40.3,140.0,0,0,0,0,0,0,Tool Wear Failure
217,47396.0,L,298.3,308.6,1499.0,38.3,142.0,0,0,0,0,0,0,Tool Wear Failure
218,47397.0,L,298.3,308.5,1664.0,31.6,144.0,0,0,0,0,0,0,Tool Wear Failure
219,47398.0,L,298.3,308.6,1447.0,38.1,146.0,0,0,0,0,0,0,Tool Wear Failure
220,15079.0,M,298.3,308.5,1434.0,46.2,148.0,0,0,0,0,0,0,Tool Wear Failure
221,47400.0,L,298.3,308.5,1416.0,52.7,151.0,0,0,0,0,0,0,Tool Wear Failure
222,29635.0,H,298.4,308.5,1827.0,24.3,153.0,0,0,0,0,0,0,Tool Wear Failure
223,47402.0,L,298.4,308.6,1304.0,45.0,158.0,0,0,0,0,0,0,Tool Wear Failure
224,47403.0,L,298.4,308.6,1569.0,34.4,160.0,0,0,0,0,0,0,Tool Wear Failure
225,47404.0,L,298.3,308.6,1584.0,29.3,162.0,0,0,0,0,0,0,Tool Wear Failure
226,47405.0,L,298.3,308.5,1362.0,53.8,164.0,0,0,0,0,0,0,Tool Wear Failure
227,47406.0,L,298.3,308.4,1329.0,49.2,166.0,0,0,0,0,0,0,Tool Wear Failure
228,47407.0,L,298.3,308.5,1539.0,36.1,168.0,0,0,0,0,0,0,Tool Wear Failure
229,15088.0,M,298.3,308.5,1629.0,37.1,170.0,0,0,0,0,0,0,Tool Wear Failure
230,47409.0,L,298.3,308.5,1538.0,32.2,173.0,0,0,0,0,0,0,Tool Wear Failure
231,47410.0,L,298.3,308.6,1570.0,34.8,175.0,0,0,0,0,0,0,Tool Wear Failure
232,47411.0,L,298.3,308.4,1408.0,43.1,177.0,0,0,0,0,0,0,Tool Wear Failure
233,47412.0,L,298.2,308.4,1424.0,47.6,179.0,0,0,0,0,0,0,Tool Wear Failure
234,47413.0,L,298.2,308.4,1512.0,34.9,181.0,0,0,0,0,0,0,Tool Wear Failure
235,47414.0,L,298.2,308.4,1478.0,42.9,183.0,0,0,0,0,0,0,Tool Wear Failure
236,15095.0,M,298.1,308.3,1680.0,33.7,185.0,0,0,0,0,0,0,Tool Wear Failure
237,47416.0,L,298.1,308.3,1495.0,38.7,188.0,0,0,0,0,0,0,Tool Wear Failure
238,15097.0,M,298.0,308.1,1552.0,36.6,190.0,0,0,0,0,0,0,Tool Wear Failure
239,47418.0,L,297.9,308.1,1393.0,50.3,193.0,0,0,0,0,0,0,Tool Wear Failure
240,47419.0,L,298.0,308.2,1611.0,30.6,195.0,0,0,0,0,0,0,Tool Wear Failure
241,15100.0,M,298.0,308.1,1339.0,51.6,197.0,0,0,0,0,0,0,Tool Wear Failure
242,47421.0,L,298.0,308.1,1777.0,24.3,200.0,0,0,0,0,0,0,Tool Wear Failure
243,47422.0,L,298.0,308.2,1348.0,58.8,202.0,1,0,0,0,1,0,Overstrain Failure
244,47423.0,L,298.0,308.2,1442.0,44.1,204.0,0,0,0,0,0,0,Tool Wear Failure
245,15104.0,M,298.0,308.2,1395.0,49.1,206.0,0,0,0,0,0,0,Tool Wear Failure
246,15105.0,M,297.9,308.1,1627.0,31.4,209.0,0,0,0,0,0,0,Tool Wear Failure
247,47426.0,L,297.9,308.1,1585.0,33.5,212.0,0,0,0,0,0,0,Tool Wear Failure
248,47427.0,L,298.0,308.2,1469.0,45.5,214.0,0,0,0,0,0,0,Tool Wear Failure
249,47428.0,L,298.0,308.3,1362.0,56.8,216.0,1,0,0,0,1,0,Overstrain Failure
250,47429.0,L,298.0,308.3,1405.0,56.2,218.0,1,0,0,0,1,0,Overstrain Failure
251,47430.0,L,298.0,308.3,1662.0,32.7,0.0,0,0,0,0,0,0,Tool Wear Failure
252,15111.0,M,298.0,308.2,1466.0,42.6,2.0,0,0,0,0,0,0,Tool Wear Failure
253,47432.0,L,298.0,308.2,1620.0,35.8,5.0,0,0,0,0,0,0,Tool Wear Failure
254,47433.0,L,298.0,308.2,1357.0,48.2,7.0,0,0,0,0,0,0,Tool Wear Failure
255,47434.0,L,298.0,308.2,1514.0,37.9,9.0,0,0,0,0,0,0,Tool Wear Failure
256,47435.0,L,298.0,308.2,1489.0,40.4,11.0,0,0,0,0,0,0,Tool Wear Failure
257,47436.0,L,298.1,308.3,1331.0,63.0,13.0,0,0,0,0,0,0,Tool Wear Failure
258,47437.0,L,298.0,308.0,1615.0,29.5,15.0,0,0,0,0,0,0,Tool Wear Failure
259,47438.0,L,298.1,308.2,1482.0,37.9,17.0,0,0,0,0,0,0,Tool Wear Failure
260,15119.0,M,298.1,308.2,1420.0,63.9,19.0,1,0,0,1,0,0,Power Failure
261,15120.0,M,298.2,308.3,1522.0,49.1,22.0,0,0,0,0,0,0,Tool Wear Failure
262,47441.0,L,298.1,308.2,1654.0,32.1,25.0,0,0,0,0,0,0,Tool Wear Failure
263,15122.0,M,298.1,308.2,1736.0,26.8,27.0,0,0,0,0,0,0,Tool Wear Failure
264,15123.0,M,298.0,308.1,1587.0,32.3,30.0,0,0,0,0,0,0,Tool Wear Failure
265,47444.0,L,298.1,308.2,1390.0,47.5,33.0,0,0,0,0,0,0,Tool Wear Failure
266,47445.0,L,298.0,308.1,1454.0,37.1,35.0,0,0,0,0,0,0,Tool Wear Failure
